id;name;devices;category;provider;
6492;Penalty;desktop,mobile;fast;galaxsys;1
5935;Rocketon;desktop,mobile;fast;Galaxsys;1
5339;SicBo;desktop,mobile;fast;Galaxsys;1
5236;Hilo;desktop,mobile;fast;Galaxsys;1
2014;Crash;desktop,mobile;fast;Galaxsys;1
